name,role,component,layer,dtype,shape,params
model.embed_tokens.weight,model.embed_tokens.weight,language model,,BF16,"(128000, 2048)",262144000
model.embedding_norm.weight,model.embedding_norm.weight,language model,,BF16,"(2048,)",2048
model.layers.0.conv.conv.weight,model.layers.N.conv.conv.weight,language model,0.0,BF16,"(2048, 1, 3)",6144
model.layers.0.conv.in_proj.weight,model.layers.N.conv.in_proj.weight,language model,0.0,BF16,"(6144, 2048)",12582912
model.layers.0.conv.out_proj.weight,model.layers.N.conv.out_proj.weight,language model,0.0,BF16,"(2048, 2048)",4194304
model.layers.0.feed_forward.w1.weight,model.layers.N.feed_forward.w1.weight,language model,0.0,BF16,"(7168, 2048)",14680064
model.layers.0.feed_forward.w2.weight,model.layers.N.feed_forward.w2.weight,language model,0.0,BF16,"(2048, 7168)",14680064
model.layers.0.feed_forward.w3.weight,model.layers.N.feed_forward.w3.weight,language model,0.0,BF16,"(7168, 2048)",14680064
model.layers.0.ffn_norm.weight,model.layers.N.ffn_norm.weight,language model,0.0,BF16,"(2048,)",2048
model.layers.0.operator_norm.weight,model.layers.N.operator_norm.weight,language model,0.0,BF16,"(2048,)",2048
model.layers.1.conv.conv.weight,model.layers.N.conv.conv.weight,language model,1.0,BF16,"(2048, 1, 3)",6144
model.layers.1.conv.in_proj.weight,model.layers.N.conv.in_proj.weight,language model,1.0,BF16,"(6144, 2048)",12582912
model.layers.1.conv.out_proj.weight,model.layers.N.conv.out_proj.weight,language model,1.0,BF16,"(2048, 2048)",4194304
model.layers.1.feed_forward.w1.weight,model.layers.N.feed_forward.w1.weight,language model,1.0,BF16,"(7168, 2048)",14680064
model.layers.1.feed_forward.w2.weight,model.layers.N.feed_forward.w2.weight,language model,1.0,BF16,"(2048, 7168)",14680064
model.layers.1.feed_forward.w3.weight,model.layers.N.feed_forward.w3.weight,language model,1.0,BF16,"(7168, 2048)",14680064
model.layers.1.ffn_norm.weight,model.layers.N.ffn_norm.weight,language model,1.0,BF16,"(2048,)",2048
model.layers.1.operator_norm.weight,model.layers.N.operator_norm.weight,language model,1.0,BF16,"(2048,)",2048
model.layers.10.feed_forward.expert_bias,model.layers.N.feed_forward.expert_bias,language model,10.0,F32,"(32,)",32
model.layers.10.feed_forward.experts.0.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.0.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.0.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.1.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.1.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.1.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.10.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.10.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.10.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.11.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.11.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.11.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.12.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.12.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.12.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.13.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.13.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.13.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.14.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.14.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.14.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.15.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.15.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.15.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.16.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.16.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.16.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.17.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.17.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.17.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.18.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.18.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.18.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.19.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.19.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.19.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.2.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.2.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.2.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.20.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.20.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.20.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.21.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.21.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.21.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.22.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.22.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.22.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.23.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.23.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.23.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.24.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.24.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.24.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.25.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.25.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
model.layers.10.feed_forward.experts.25.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.26.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,10.0,BF16,"(1792, 2048)",3670016
model.layers.10.feed_forward.experts.26.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,10.0,BF16,"(2048, 1792)",3670016
