step,parent_beam_id,beam_id,beam_rank,token_id,token,token_probability,token_log_probability,previous_log_probability,cumulative_log_probability,is_eos,carried_forward,survived,on_final_path
1,0,1,0,271,"

",0.912790237715108,-0.09124917536973953,0.0,-0.09124917536973953,False,False,True,True
1,0,2,1,198,"
",0.03539271653805848,-3.3412492275238037,0.0,-3.3412492275238037,False,False,True,False
1,0,3,2,357, A,0.0061503333885957814,-5.091248989105225,0.0,-5.091248989105225,False,False,True,False
1,0,4,3,561, The,0.005098805465663034,-5.278748989105225,0.0,-5.278748989105225,False,False,False,False
1,0,5,4,5514, Here,0.00422705819897203,-5.466248989105225,0.0,-5.466248989105225,False,False,False,False
1,0,6,5,9357, Write,0.0032920362354478196,-5.716248989105225,0.0,-5.716248989105225,False,False,False,False
1,0,7,6,5272, Use,0.002729193897291231,-5.903748989105225,0.0,-5.903748989105225,False,False,False,False
1,0,8,7,7170, Make,0.0021254983443641097,-6.153748989105225,0.0,-6.153748989105225,False,False,False,False
1,0,9,8,28763, Include,0.0013723248739636118,-6.591248989105225,0.0,-6.591248989105225,False,False,False,False
1,0,10,9,1049, It,0.001137697280119082,-6.778748989105225,0.0,-6.778748989105225,False,False,False,False
2,1,11,0,248068,<think>,0.760182929677135,-0.27419617772102356,-0.09124917536973953,-0.3654453456401825,False,False,True,True
2,1,12,1,33,B,0.11657783145100768,-2.149196147918701,-0.09124917536973953,-2.240445375442505,False,False,True,False
2,1,13,2,3318,Bar,0.026012030201420004,-3.649196147918701,-0.09124917536973953,-3.740445375442505,False,False,True,False
2,1,14,3,75962,Ted,0.009569291134233071,-4.649196147918701,-0.09124917536973953,-4.740445137023926,False,False,True,False
2,1,15,4,85536,Bear,0.007001042951745451,-4.961696147918701,-0.09124917536973953,-5.052945137023926,False,False,False,False
2,1,16,5,332,**,0.005122072442423702,-5.274196147918701,-0.09124917536973953,-5.365445137023926,False,False,False,False
2,2,17,6,32,A,0.12369569863023396,-2.089930772781372,-3.3412492275238037,-5.431180000305176,False,False,True,False
2,3,18,7,39861, ted,0.6805318041295005,-0.3848807215690613,-5.091248989105225,-5.476129531860352,False,False,True,False
2,1,19,8,3320,Be,0.00452021306525283,-5.399196147918701,-0.09124917536973953,-5.490445137023926,False,False,False,False
2,1,20,9,19604,Tim,0.0037473882514740785,-5.586696147918701,-0.09124917536973953,-5.677945137023926,False,False,True,False
3,11,21,0,198,"
",0.6790763651882804,-0.3870216906070709,-0.3654453456401825,-0.7524670362472534,False,False,True,True
3,11,22,1,271,"

",0.3207729712316658,-1.1370216608047485,-0.3654453456401825,-1.5024670362472534,False,False,True,False
3,12,23,2,1820,arn,0.9931172302299467,-0.006906565278768539,-2.240445375442505,-2.247351884841919,False,False,True,False
3,13,24,3,3327,ney,0.6515773387660708,-0.42835918068885803,-3.740445375442505,-4.16880464553833,False,False,True,False
3,14,25,4,9952,dy,0.9023750058436789,-0.10272509604692459,-4.740445137023926,-4.843170166015625,False,False,True,False
3,13,26,5,337,th,0.23970191440891134,-1.4283591508865356,-3.740445375442505,-5.16880464553833,False,False,True,False
3,18,27,6,9952,dy,0.9960029787104417,-0.004005030728876591,-5.476129531860352,-5.4801344871521,False,False,True,False
3,20,28,7,2329,my,0.8903235466680627,-0.11617034673690796,-5.677945137023926,-5.7941155433654785,False,False,False,False
3,17,29,8,39861, ted,0.6496771971154923,-0.43127965927124023,-5.431180000305176,-5.862459659576416,False,False,True,False
3,13,30,9,856,ry,0.07781980866652836,-2.553359270095825,-3.740445375442505,-6.29380464553833,False,False,False,False
4,21,31,0,90700,Thinking,0.9998592336474077,-0.00014077626110520214,-0.7524670362472534,-0.7526078224182129,False,False,True,True
4,22,32,1,248069,</think>,0.9999775891557117,-2.2411095415009186e-05,-1.5024670362472534,-1.502489447593689,False,False,True,False
4,23,33,2,5923,aby,0.998463135203166,-0.0015380469849333167,-2.247351884841919,-2.248889923095703,False,False,True,False
4,26,34,3,335,ol,0.9829208204938549,-0.01722671091556549,-5.16880464553833,-5.186031341552734,False,False,True,False
4,24,35,4,279, the,0.3459362024375401,-1.061500906944275,-4.16880464553833,-5.2303056716918945,False,False,True,False
4,27,36,5,11385, bear,0.9966822438532595,-0.003323272103443742,-5.4801344871521,-5.483457565307617,False,False,False,False
4,24,37,6,557, was,0.2098209130829243,-1.561500906944275,-4.16880464553833,-5.7303056716918945,False,False,False,False
4,29,38,7,9952,dy,0.997070811637855,-0.002933486830443144,-5.862459659576416,-5.865393161773682,False,False,False,False
4,25,39,8,557, was,0.24858080289077958,-1.3919873237609863,-4.843170166015625,-6.235157489776611,False,False,False,False
4,25,40,9,11,",",0.21937178859310483,-1.5169873237609863,-4.843170166015625,-6.360157489776611,False,False,False,False
5,31,41,0,8340, Process,0.9997689066110691,-0.00023112009512260556,-0.7526078224182129,-0.7528389692306519,False,False,True,True
5,32,42,1,271,"

",0.9999898673126559,-1.0132738680113107e-05,-1.502489447593689,-1.5024995803833008,False,False,True,False
5,33,43,2,557, was,0.39627479644561026,-0.9256473779678345,-2.248889923095703,-3.174537181854248,False,False,True,False
5,33,44,3,11,",",0.2403528137156455,-1.4256473779678345,-2.248889923095703,-3.674537181854248,False,False,True,False
5,33,45,4,279, the,0.11353464359084614,-2.175647258758545,-2.248889923095703,-4.424537181854248,False,False,True,False
5,33,46,5,23237, Bear,0.10019397130496771,-2.300647258758545,-2.248889923095703,-4.549537181854248,False,False,False,False
5,34,47,6,315,om,0.9983636734091578,-0.001637666835449636,-5.186031341552734,-5.187668800354004,False,False,True,False
5,35,48,7,23237, Bear,0.7582206929022387,-0.27678078413009644,-5.2303056716918945,-5.507086277008057,False,False,False,False
5,33,49,8,5532, wasn,0.03055743477674548,-3.488147258758545,-2.248889923095703,-5.737037181854248,False,False,False,False
5,33,50,9,369, is,0.028706053395345488,-3.550647258758545,-2.248889923095703,-5.799537181854248,False,False,False,False
6,41,51,0,25,:,0.9999983310727032,-1.6689286894688848e-06,-0.7528389692306519,-0.7528406381607056,False,False,True,True
6,42,52,1,33,B,0.8387812027640553,-0.17580538988113403,-1.5024995803833008,-1.67830491065979,False,False,True,False
6,43,53,2,264, a,0.6163785404195878,-0.4838939905166626,-3.174537181854248,-3.658431053161621,False,False,True,False
6,44,54,3,264, a,0.7843669046834113,-0.24287837743759155,-3.674537181854248,-3.9174156188964844,False,False,True,False
6,42,55,4,3318,Bar,0.03685347622704443,-3.3008053302764893,-1.5024995803833008,-4.803304672241211,False,False,True,False
6,43,56,5,524, not,0.1765954085118945,-1.7338939905166626,-3.174537181854248,-4.908431053161621,False,False,False,False
6,45,57,6,23237, Bear,0.5402440918821064,-0.6157342195510864,-4.424537181854248,-5.040271282196045,False,False,False,False
6,42,58,7,85536,Bear,0.025328999097025604,-3.6758053302764893,-1.5024995803833008,-5.178304672241211,False,False,True,False
6,47,59,8,360,ew,0.9997451954870006,-0.0002548369811847806,-5.187668800354004,-5.187923431396484,False,False,False,False
6,44,60,9,279, the,0.17501590262537672,-1.7428784370422363,-3.674537181854248,-5.417415618896484,False,False,True,False
7,51,61,0,271,"

",0.9999920130413283,-7.986990567587782e-06,-0.7528406381607056,-0.7528486251831055,False,False,True,True
7,52,62,1,1820,arn,0.9985918589317638,-0.001409133430570364,-1.67830491065979,-1.6797140836715698,False,False,True,False
7,53,63,2,39861, ted,0.6460181714610096,-0.4369276463985443,-3.658431053161621,-4.095358848571777,False,False,True,False
7,54,64,3,39861, ted,0.4045060669758341,-0.9050885438919067,-3.9174156188964844,-4.822504043579102,False,False,True,False
7,55,65,4,3327,ney,0.5151277913689214,-0.6633402705192566,-4.803304672241211,-5.466644763946533,False,False,True,False
7,55,66,5,337,th,0.4011819272999593,-0.9133402705192566,-4.803304672241211,-5.716644763946533,False,False,True,False
7,60,67,6,1814, world,0.6849706316532832,-0.37837931513786316,-5.417415618896484,-5.79579496383667,False,False,True,False
7,54,68,7,11385, bear,0.13979355610813055,-1.9675885438919067,-3.9174156188964844,-5.885004043579102,False,False,True,False
7,58,69,8,21722, Barn,0.43299634157973177,-0.8370260000228882,-5.178304672241211,-6.015330791473389,False,False,True,False
7,53,70,9,11385, bear,0.08742906002744111,-2.436927556991577,-3.658431053161621,-6.095358848571777,False,False,True,False
8,61,71,0,16,1,0.9999971389852362,-2.861018856492592e-06,-0.7528486251831055,-0.7528514862060547,False,False,True,True
8,62,72,1,5923,aby,0.9992121709136237,-0.000788139586802572,-1.6797140836715698,-1.68050217628479,False,False,True,False
8,63,73,2,9952,dy,0.9960496928172339,-0.00395813025534153,-4.095358848571777,-4.0993170738220215,False,False,True,False
8,64,74,3,9952,dy,0.9989192258161812,-0.001081358641386032,-4.822504043579102,-4.823585510253906,False,False,True,False
8,66,75,4,335,ol,0.9866512974901916,-0.013438597321510315,-5.716644763946533,-5.730083465576172,False,False,True,False
8,67,76,5,579,'s,0.8255679217957514,-0.19168373942375183,-5.79579496383667,-5.987478733062744,False,False,True,False
8,69,77,6,5923,aby,0.9995110042898191,-0.0004891153075732291,-6.015330791473389,-6.015820026397705,False,False,False,False
8,70,78,7,314, of,0.7197720564116725,-0.32882070541381836,-6.095358848571777,-6.424179553985596,False,False,False,False
8,65,79,8,279, the,0.32563414372753385,-1.1219807863235474,-5.466644763946533,-6.588625431060791,False,False,False,False
8,68,80,9,440, with,0.3774608801580659,-0.9742883443832397,-5.885004043579102,-6.859292507171631,False,False,False,False
9,71,81,0,13,.,0.9999876023871354,-1.2397689715726301e-05,-0.7528514862060547,-0.752863883972168,False,False,True,True
