rank,beam_id,position,token_id,token,token_probability,token_log_probability,cumulative_log_probability,cumulative_probability
1,100,1,271,"

",0.912790237715108,-0.09124917536973953,-0.09124917536973953,0.912790237715108
1,100,2,248068,<think>,0.7634781613620437,-0.2698707580566406,-0.36111993342638016,0.6968954123999535
1,100,3,198,"
",0.6790738961503322,-0.3870253264904022,-0.7481452599167824,0.47324348290772894
1,100,4,90700,Thinking,0.9998570884900959,-0.0001429217227268964,-0.7482881816395093,0.47317585096703435
1,100,5,8340, Process,0.9997747451949632,-0.0002252801787108183,-0.7485134618182201,0.47306926583297665
1,100,6,25,:,0.9999986886995842,-1.311301275563892e-06,-0.7485147731194957,0.47306864549705163
1,100,7,271,"

",0.9999938011552557,-6.198863957251888e-06,-0.7485209719834529,0.4730657130179648
1,100,8,16,1,0.9999973774024795,-2.622600959512056e-06,-0.7485235945844124,0.4730644723569988
1,100,9,13,.,0.9999840262101118,-1.597391747054644e-05,-0.748539568501883,0.4730569157245138
1,100,10,220, ,0.9997833244759207,-0.00021669900161214173,-0.7487562675034951,0.4729544158693798
1,100,11,2972, **,0.9985756924464595,-0.0014253228437155485,-0.7501815903472107,0.4722807833223767
1,100,12,2014,An,0.9999849798550975,-1.5020257706055418e-05,-0.7501966106049167,0.4722736895965765
1,100,13,53983,alyze,0.9999985694905718,-1.4305104514278355e-06,-0.7501980411153681,0.47227301400461086
1,100,14,279, the,0.9999563713049341,-4.362964682513848e-05,-0.7502416707621933,0.47225240934929497
1,100,15,5952, Request,0.9999110777746556,-8.892617915989831e-05,-0.7503305969413532,0.47221041561413135
1,100,16,64700,:**,0.9999896288992495,-1.0371154530730564e-05,-0.7503409680958839,0.4722055182723356
1,100,17,198,"
",0.9999909401759619,-9.059865078597795e-06,-0.7503500279609625,0.4722012401734302
1,100,18,262,   ,0.9999030922364486,-9.691245941212401e-05,-0.7504469404203746,0.47215548020729875
1,100,19,348, *,0.999974847472739,-2.5152843591058627e-05,-0.7504720932639657,0.47214360430371144
1,100,20,256,  ,0.9999974966112362,-2.50339189733495e-06,-0.750474596655863,0.47214242234471754
1,100,21,2972, **,0.49983226991462737,-0.6934826970100403,-1.4439572936659033,0.23599201868355085
1,100,22,25562,Topic,0.9998344457103422,-0.00016556799528189003,-1.4441228616611852,0.2359529491925328
1,100,23,64700,:**,0.9999991655356624,-8.344646857949556e-07,-1.444123696125871,0.23595275229821133
1,100,24,357, A,0.9819105336628451,-0.0182550810277462,-1.4623787771536172,0.23168449292835377
1,100,25,14731, funny,0.9892539054482277,-0.010804250836372375,-1.4731830279899896,0.22919478946116625
1,100,26,3255, story,0.9999957084838798,-4.291525328881107e-06,-1.4731873195153184,0.2291938058680326
1,100,27,883, about,0.9999963045256735,-3.6954811548639555e-06,-1.4731910149964733,0.2291929588882072
1,100,28,264, a,0.9999979734461775,-2.0265558760002023e-06,-1.4731930415523493,0.22919249441634026
1,100,29,39861, ted,0.9999715097912857,-2.8490614567999728e-05,-1.4732215321669173,0.2291859646743386
1,100,30,9952,dy,0.9994091904110656,-0.0005909841856919229,-1.4738125163526092,0.22905055940875982
1,100,31,11385, bear,0.9999977350285647,-2.264974000354414e-06,-1.4738147813266096,0.22905004061578552
1,100,32,13,.,0.9999870063564401,-1.2993727978027891e-05,-1.4738277750545876,0.22904706442120037
1,100,33,198,"
",0.999998927117538,-1.0728830375228426e-06,-1.4738288479376251,0.229046818680622
1,100,34,262,   ,0.9999614968828868,-3.85038583772257e-05,-1.4738673517960024,0.22903799966413793
1,100,35,348, *,0.999958755287689,-4.124556289752945e-05,-1.4739085973589,0.22902855305773348
1,100,36,256,  ,0.9999964237340748,-3.576272320060525e-06,-1.47391217363122,0.2290277339907233
1,100,37,2972, **,0.9999966621509202,-3.3378546504536644e-06,-1.4739155114858704,0.22902696953071214
1,100,38,4232,Length,0.9804463751713527,-0.019747326150536537,-1.493662837636407,0.22454866209286656
1,100,39,64700,:**,0.5607376897654988,-0.5785020589828491,-2.072164896619256,0.12591289802188763
1,100,40,9680, About,0.9779582471252412,-0.022288301959633827,-2.09445319857889,0.12313755703994446
1,100,41,220, ,0.9999994039539004,-5.960462772236497e-07,-2.094453794625167,0.12313748364428388
1,100,42,16,1,0.9999907017622996,-9.298280929215252e-06,-2.0944630929060963,0.12313633868269114
1,100,43,15,0,0.9999942779868433,-5.722029527532868e-06,-2.094468814935624,0.12313563409494112
1,100,44,15,0,0.9999921322487634,-7.867782187531702e-06,-2.0944766827178114,0.1231346652944037
1,100,45,10885, tokens,0.999715409232722,-0.00028463127091526985,-2.0947613139887267,0.12309962230552904
1,100,46,13,.,0.7549016934285674,-0.28116774559020996,-2.3759290595789366,0.09292811333886092
1,100,47,198,"
",0.5623946170864317,-0.5755515098571777,-2.9514805694361144,0.052262270717773215
1,100,48,262,   ,0.9994262174653975,-0.0005739472107961774,-2.9520545166469105,0.052232283539616696
1,100,49,348, *,0.9999921322487634,-7.867782187531702e-06,-2.952062384429098,0.05223187258900328
1,100,50,256,  ,0.9999970197767496,-2.9802276912960224e-06,-2.9520653646567894,0.05223171692636218
1,100,51,2972, **,0.9999983310727032,-1.6689286894688848e-06,-2.952067033585479,0.052231629755424044
1,100,52,51,T,0.9771146015560582,-0.02315133437514305,-2.975218367960622,0.05103628809709472
1,100,53,588,one,0.9999966621509202,-3.3378546504536644e-06,-2.9752217058152723,0.05103611774566746
1,100,54,64700,:**,0.9999969005680498,-3.099436753473128e-06,-2.975224805252026,0.0510359595626935
1,100,55,51063, Funny,0.9460414291203886,-0.05546891689300537,-3.030693722145031,0.04828213212122092
1,100,56,13,.,0.555037231758226,-0.5887200832366943,-3.6194138053817255,0.026798380955947384
1,100,57,271,"

",0.9978158598402432,-0.0021865288726985455,-3.621600334254424,0.026739849535885037
1,100,58,17,2,0.9999793772183819,-2.062299427052494e-05,-3.6216209572486946,0.02673929808580756
1,100,59,13,.,0.9999985694905718,-1.4305104514278355e-06,-3.621622387759146,0.026739259834989544
1,100,60,220, ,0.9999624504845601,-3.755022044060752e-05,-3.6216599379795866,0.026738255788739517
1,100,61,2972, **,0.9985034247171214,-0.0014976962702348828,-3.6231576342498215,0.026698239976018803
1,100,62,48401,Draft,0.5311728568502148,-0.6326677799224854,-4.255825414172307,0.014181380400934517
1,100,63,286,ing,0.9999227583468039,-7.724463648628443e-05,-4.255902658808793,0.014180285007667744
1,100,64,471, -,0.9726012522421237,-0.02778109349310398,-4.283683752301897,0.013791762955607861
1,100,65,42078, Attempt,0.9587697184156533,-0.04210435971617699,-4.325788112018074,0.013223124685403587
1,100,66,220, ,1.0,0.0,-4.325788112018074,0.013223124685403587
1,100,67,16,1,0.9999973774024795,-2.622600959512056e-06,-4.325790734619034,0.013223090006469573
1,100,68,318, (,0.9046426131994605,-0.10021531581878662,-4.42600605043782,0.011962170698024304
1,100,69,44,M,0.6972258492391568,-0.3606458902359009,-4.786651940673721,0.008340334623673753
1,100,70,6098,ental,0.9999765163221908,-2.3483953555114567e-05,-4.786675424627276,0.00834013876194263
1,100,71,50163, Outline,0.9851873238360283,-0.014923479408025742,-4.801598904035302,0.008216598987299385
1,100,72,188912,):**,0.9999977350285647,-2.264974000354414e-06,-4.801601169009302,0.008216580376937383
1,100,73,198,"
",0.9999996423722521,-3.576278118089249e-07,-4.801601526637114,0.008216577438460248
1,100,74,262,   ,0.9999992847447459,-7.152555099310121e-07,-4.801602241892624,0.008216571561510065
1,100,75,348, *,0.6901263556759579,-0.3708805739879608,-5.172482815880585,0.005670472587895656
1,100,76,256,  ,0.9999860527077029,-1.3947389561508317e-05,-5.172496763270146,0.00567039350015701
1,100,77,67694, Teddy,0.6281971998704957,-0.4649011492729187,-5.637397912543065,0.0035621253189624925
1,100,78,11385, bear,0.6518517219245815,-0.42793816328048706,-6.065336075823552,0.00232197752287685
1,100,79,6725, named,0.29052517947920653,-1.2360650300979614,-7.301401105921514,0.0006745929365804803
1,100,80,21722, Barn,0.8376003718635644,-0.17721417546272278,-7.478615281384236,0.0005650392945363441
1,100,81,5923,aby,0.9954200706203803,-0.0045904493890702724,-7.483205730773307,0.0005624514544706576
1,100,82,13,.,0.9468957333140372,-0.05456629395484924,-7.537772024728156,0.0005325828824345401
1,100,83,198,"
",0.9943199381160133,-0.0056962547823786736,-7.543468279510535,0.0005295577787039599
1,100,84,262,   ,0.9999992847447459,-7.152555099310121e-07,-7.5434689947660445,0.0005295573999349762
1,100,85,348, *,0.9999957084838798,-4.291525328881107e-06,-7.543473286291373,0.0005295551273308578
1,100,86,256,  ,0.9999890328655274,-1.0967194612021558e-05,-7.543484253485985,0.0005295493196285657
1,100,87,1216, He,0.8153397157840392,-0.20415042340755463,-7.74763467689354,0.00043176259175958613
1,100,88,6587, wants,0.361382583658897,-1.0178180932998657,-8.765452770193406,0.00015603148093734084
1,100,89,310, to,0.9556330400159317,-0.04538128897547722,-8.810834059168883,0.00014910883846633893
1,100,90,381, be,0.45779614109563255,-0.7813313007354736,-9.592165359904357,6.826145085314199e-05
1,100,91,264, a,0.43252321903664737,-0.8381192684173584,-10.430284628321715,2.9524662459112865e-05
1,100,92,20585, spy,0.46871277681713003,-0.7577651143074036,-11.188049742629119,1.3838586525799266e-05
1,100,93,13,.,0.7970331415313451,-0.22685901820659637,-11.414908760835715,1.1029812093011133e-05
1,100,94,198,"
",0.9999104818395896,-8.95221673999913e-05,-11.414998283003115,1.1028824724522895e-05
1,100,95,262,   ,0.9999817613105537,-1.823885577323381e-05,-11.415016521858888,1.1028623573213786e-05
1,100,96,348, *,0.9999936819476216,-6.318072337307967e-06,-11.415022839931225,1.102855389379239e-05
