rank,beam_id,position,token_id,token,token_probability,token_log_probability,cumulative_log_probability,cumulative_probability
1,100,1,107,"
",0.7314074100599206,-0.3127846419811249,-0.3127846419811249,0.7314074100599206
1,100,2,19058,Okay,0.689844619688432,-0.37128889560699463,-0.6840735375881195,0.5045574666300869
1,100,3,236764,",",0.9807486489938951,-0.01943907141685486,-0.7035126090049744,0.4948440537372401
1,100,4,506, the,0.5093882356386161,-0.6745448112487793,-1.3780574202537537,0.2520677394494733
1,100,5,2430, user,0.9999781851762466,-2.1815061700181104e-05,-1.3780792353154538,0.2520622406361633
1,100,6,8150, wants,0.9731993963502286,-0.02716628834605217,-1.405245523661506,0.24530682042980015
1,100,7,496, a,0.9974557684106871,-0.0025474736467003822,-1.4077929973082064,0.2446827030681887
1,100,8,12274, funny,0.9996617984574251,-0.00033825874561443925,-1.4081312560538208,0.24459995100056964
1,100,9,3925, story,0.9869182805217713,-0.013168038800358772,-1.4212992948541796,0.24140016305719172
1,100,10,1003, about,0.9991202947271238,-0.0008800924406386912,-1.4221793872948183,0.24118780206087714
1,100,11,496, a,0.9999445707518435,-5.543078441405669e-05,-1.4222348180792324,0.24117443320234438
1,100,12,60349, teddy,0.9997832053070167,-0.00021681819634977728,-1.4224516362755821,0.24112214786514286
1,100,13,10591, bear,0.999998927117538,-1.0728830375228426e-06,-1.4224527091586197,0.24112188916941923
1,100,14,528, in,0.6010851228032434,-0.5090187191963196,-1.9314714283549392,0.1449347803619504
1,100,15,1003, about,0.9948955403916259,-0.00511753186583519,-1.9365889602207744,0.14419496662974426
1,100,16,236743, ,0.9999420676405305,-5.793403761344962e-05,-1.9366468942583879,0.14418661307510378
1,100,17,236770,1,0.9999400413221109,-5.9960475482512265e-05,-1.9367068547338704,0.14417796783641448
1,100,18,236771,0,0.9999934435319415,-6.556489552167477e-06,-1.9367134112234226,0.14417702253817363
1,100,19,236771,0,0.9999952316511552,-4.768360213347478e-06,-1.936718179583636,0.14417633505183478
1,100,20,21739, tokens,0.9999858142961154,-1.4185804502631072e-05,-1.9367323653881385,0.14417428980903857
1,100,21,236761,.,0.9993610890214183,-0.0006391151691786945,-1.9373714805573172,0.14408217527245035
1,100,22,3792, Let,0.9709060633604363,-0.029525557532906532,-1.9668970380902238,0.13989025759418314
1,100,23,786, me,0.9933069132107952,-0.006715585943311453,-1.9736126240335352,0.1389539599591411
1,100,24,1502, start,0.9116031795148456,-0.09255049377679825,-2.0661631178103335,0.12667087170493155
1,100,25,684, by,0.9999495770114563,-5.0424259825376794e-05,-2.066213542070159,0.12666448458101875
1,100,26,6611, understanding,0.9133698580954289,-0.09061437845230103,-2.15682792052246,0.11569152230749574
1,100,27,506, the,0.9922485316197045,-0.007781667169183493,-2.1646095876916434,0.11479474313046094
1,100,28,6035, requirements,0.6980830086710336,-0.35941725969314575,-2.524026847384789,0.08013625966413064
1,100,29,236761,.,0.9996504813676652,-0.00034957972820848227,-2.5243764271129976,0.08010825054825241
1,100,30,2195, They,0.4900122420363828,-0.7133249044418335,-3.237701331554831,0.03925402345676145
1,100,31,9155, specified,0.9149760081147514,-0.08885743468999863,-3.3265587662448297,0.0359164896849104
1,100,32,623," """,0.5224682712229014,-0.6491910219192505,-3.97574978816408,0.018765226274070308
1,100,33,9869,about,0.9614919897364789,-0.03926904499530792,-4.015018833159388,0.018042614748111113
1,100,34,236743, ,0.9996928920054542,-0.0003071551618631929,-4.015325988321251,0.01803707371687946
1,100,35,236770,1,0.9999862911193472,-1.3708974620385561e-05,-4.015339697295872,0.018036826448788547
1,100,36,236771,0,0.9999953508594287,-4.6491513785440475e-06,-4.01534434644725,0.01803674259304693
1,100,37,236771,0,1.0,0.0,-4.01534434644725,0.01803674259304693
1,100,38,21739, tokens,0.9999831917733143,-1.680836794548668e-05,-4.015361154815196,0.018036439427388754
1,100,39,2098,",""",0.9959219784016055,-0.004086359404027462,-4.019447514219223,0.017962886437845726
1,100,40,837, which,0.7506902159329253,-0.28676220774650574,-4.306209721965729,0.013484563098805025
1,100,41,563, is,0.896823773908168,-0.10889589786529541,-4.415105619831024,0.012093276767773142
1,100,42,20129, roughly,0.9620997113780225,-0.0386371836066246,-4.453742803437649,0.011634938087889086
1,100,43,236743, ,0.7470217376861136,-0.29166099429130554,-4.7454037977289545,0.008691551668285252
1,100,44,236832,7,0.8612811562575676,-0.14933428168296814,-4.894738079411923,0.007485869670533113
1,100,45,236771,0,0.7772780681950942,-0.25195711851119995,-5.146695197923123,0.005818602316272224
1,100,46,236772,-,0.9969021975361513,-0.0031026105862110853,-5.149797808509334,0.00580057743568072
1,100,47,236770,1,0.6775863565703119,-0.389218270778656,-5.53901607928799,0.003930392130646861
1,100,48,236771,0,0.6870053432044176,-0.3754132091999054,-5.914429288487895,0.002700200394642989
1,100,49,236771,0,0.9999965429424904,-3.4570634852570947e-06,-5.91443274555138,0.0027001910598949378
1,100,50,4171, words,0.9994720625116198,-0.000528076896443963,-5.914960822447824,0.0026987655278086302
1,100,51,236764,",",0.5380033397983915,-0.6198905110359192,-6.5348513334837435,0.001451944867293812
1,100,52,840, but,0.5597596634306675,-0.5802477598190308,-7.115099093302774,0.0008127401702362694
1,100,53,7463, maybe,0.8767596074723066,-0.13152243196964264,-7.246621525272417,0.0007125777526333271
1,100,54,496, a,0.5034326776510253,-0.6863052845001221,-7.932926809772539,0.0003587349260427458
1,100,55,3103, bit,0.9956930021454481,-0.0043162996880710125,-7.93724310946061,0.0003571898554859269
1,100,56,919, more,0.9027403320233226,-0.10232032835483551,-8.039563437815445,0.00032244968873672823
1,100,57,236761,.,0.7339056875787026,-0.30937474966049194,-8.348938187475937,0.00023664766052186717
1,100,58,564, I,0.42837041785022084,-0.8477669954299927,-9.19670518290593,0.00010137285722102945
1,100,59,1202, need,0.9703043387135905,-0.03014550544321537,-9.226850688349145,9.83625231893582e-05
1,100,60,531, to,0.9998778254072664,-0.00012218205665703863,-9.226972870405802,9.83505057881473e-05
1,100,61,1386, make,0.5036022753502385,-0.6859684586524963,-9.912941329058299,4.9529538496757784e-05
1,100,62,2889, sure,0.9914172040510718,-0.008619840256869793,-9.921561169315169,4.910443657439553e-05
1,100,63,506, the,0.8007384396684997,-0.22222092747688293,-10.143782096792052,3.931980992338228e-05
1,100,64,3925, story,0.9856327527474492,-0.014471455477178097,-10.15825355226923,3.875489249228975e-05
1,100,65,563, is,0.9992810891527284,-0.0007191693875938654,-10.158972721656824,3.8727031179692194e-05
1,100,66,63510, concise,0.8762300838396818,-0.1321265697479248,-10.291099291404748,3.393378977744366e-05
1,100,67,840, but,0.8621980878179814,-0.14827023446559906,-10.439369525870347,2.925764865852929e-05
1,100,68,2036, still,0.9961003146852222,-0.003907308913767338,-10.443276834784115,2.9143553035710694e-05
1,100,69,21964, engaging,0.5845210358991931,-0.5369625091552734,-10.980239343939388,1.703501981021669e-05
1,100,70,532, and,0.49495030614737207,-0.7032979130744934,-11.683537257013882,8.431488270293298e-06
1,100,71,12274, funny,0.8342442614842744,-0.18122904002666473,-11.864766297040546,7.033920705264156e-06
1,100,72,236761,.,0.9999798540367254,-2.0146166207268834e-05,-11.864786443206754,7.033779000155951e-06
1,100,73,108,"

",0.9871398694311163,-0.012943537905812263,-11.877729981112566,6.9433236838212735e-06
1,100,74,7280,First,0.9874317570129796,-0.012647891417145729,-11.890377872529712,6.856058304625474e-06
1,100,75,236764,",",0.9999359887121412,-6.401333666872233e-05,-11.89044188586638,6.85561943950376e-06
1,100,76,1144, what,0.5097685693280483,-0.6737984418869019,-12.564240327753282,3.4947793135333875e-06
1,100,77,236789,',0.5212375769751005,-0.6515493392944336,-13.215789667047716,1.821610301448848e-06
1,100,78,236751,s,1.0,0.0,-13.215789667047716,1.821610301448848e-06
1,100,79,496, a,0.9674138496656629,-0.033128902316093445,-13.24891856936381,1.7622510343152588e-06
1,100,80,60349, teddy,0.6143943434743407,-0.48711830377578735,-13.736036873139597,1.0827170672651014e-06
1,100,81,10591, bear,1.0,0.0,-13.736036873139597,1.0827170672651014e-06
1,100,82,236789,',0.3249972492657728,-1.1239385604858398,-14.859975433625436,3.518800685942627e-07
1,100,83,236751,s,1.0,0.0,-14.859975433625436,3.518800685942627e-07
1,100,84,11521, perspective,0.5119060656923894,-0.6696141362190247,-15.529589569844461,1.801295415096571e-07
1,100,85,236881,?,0.9701093145883759,-0.030346518382430077,-15.559936088226891,1.7474534605105185e-07
1,100,86,2195, They,0.37351722426726564,-0.9847911596298218,-16.544727247856713,6.527039661061167e-08
1,100,87,236789,',0.47832383874316664,-0.7374672889709473,-17.28219453682766,3.122038666307675e-08
1,100,88,500,re,0.999997854237364,-2.145764938177308e-06,-17.2821966825926,3.1220319671537564e-08
1,100,89,192226, inanimate,0.5647705183572259,-0.5713357925415039,-17.853532475134102,1.7632316124172565e-08
1,100,90,7751, objects,0.44043310150606624,-0.81999671459198,-18.673529189726082,7.765855677304745e-09
1,100,91,236764,",",0.757897560639829,-0.27720704674720764,-18.95073623647329,5.885723074110233e-09
1,100,92,834, so,0.6614606350890259,-0.41330480575561523,-19.364041042228905,3.893174122559088e-09
1,100,93,506, the,0.4795110825567419,-0.734988272190094,-20.099029314419,1.8668201380902023e-09
1,100,94,29024, humor,0.9788009510872466,-0.0214269757270813,-20.12045629014608,1.827245326671515e-09
1,100,95,2473, might,0.4327655968354333,-0.8375590443611145,-20.958015334507195,7.907689143617544e-10
1,100,96,2229, come,0.9999800924450729,-1.9907753085135482e-05,-20.95803524226028,7.907531720861571e-10
1,100,97,699, from,0.9999988079084972,-1.1920922133867862e-06,-20.958036434352493,7.907522294360199e-10
1,100,98,37350, anthrop,0.648042480535524,-0.43379902839660645,-21.3918354627491,5.124410362527142e-10
1,100,99,11276,omorph,0.9858855120337296,-0.014215044677257538,-21.406050507426357,5.052081934131022e-10
1,100,100,4266,izing,0.9998840228101262,-0.00011598391574807465,-21.406166491342105,5.051496007865289e-10
