step,parent_beam_id,beam_id,beam_rank,token_id,token,token_probability,token_log_probability,previous_log_probability,cumulative_log_probability,is_eos,carried_forward,survived,on_final_path
1,0,1,0,108,"

",0.5184987126029478,-0.6568177342414856,0.0,-0.6568177342414856,False,False,True,False
1,0,2,1,107,"
",0.09010157133346523,-2.406817674636841,0.0,-2.406817674636841,False,False,True,False
1,0,3,2,669, The,0.06192584397971066,-2.781817674636841,0.0,-2.781817674636841,False,False,True,True
1,0,4,3,6890, Use,0.02010437804126127,-3.906817674636841,0.0,-3.906817674636841,False,False,False,False
1,0,5,4,15642, Write,0.015657301628705784,-4.15681791305542,0.0,-4.15681791305542,False,False,False,False
1,0,6,5,9996, Make,0.013817520190165595,-4.28181791305542,0.0,-4.28181791305542,False,False,False,False
1,0,7,6,258882,<image|>,0.013817520190165595,-4.28181791305542,0.0,-4.28181791305542,False,False,False,False
1,0,8,7,12213, Include,0.012193918769221247,-4.40681791305542,0.0,-4.40681791305542,False,False,False,False
1,0,9,8,1030, It,0.010761095544205913,-4.53181791305542,0.0,-4.53181791305542,False,False,False,False
1,0,10,9,1599, You,0.010761095544205913,-4.53181791305542,0.0,-4.53181791305542,False,False,False,False
2,1,11,0,258882,<image|>,0.4188566414886871,-0.8702265620231628,-0.6568177342414856,-1.5270442962646484,False,False,True,False
2,1,12,1,6974,Write,0.17460541511943697,-1.7452266216278076,-0.6568177342414856,-2.4020442962646484,False,False,True,False
2,3,13,2,3925, story,0.4571935820956594,-0.7826483845710754,-2.781817674636841,-3.5644659996032715,False,False,True,True
2,2,14,3,258882,<image|>,0.22978414513788575,-1.4706149101257324,-2.406817674636841,-3.8774325847625732,False,False,True,False
2,2,15,4,6974,Write,0.22978414513788575,-1.4706149101257324,-2.406817674636841,-3.8774325847625732,False,False,True,False
2,1,16,5,6924,Create,0.038959734238383045,-3.2452266216278076,-0.6568177342414856,-3.9020442962646484,False,False,True,False
2,1,17,6,43204,Generate,0.03438184479089205,-3.3702266216278076,-0.6568177342414856,-4.027044296264648,False,False,True,False
2,3,18,7,258882,<image|>,0.2773019414933456,-1.2826483249664307,-2.781817674636841,-4.0644659996032715,False,False,True,False
2,1,19,8,818,The,0.01433248867693544,-4.2452263832092285,-0.6568177342414856,-4.902044296264648,False,False,False,False
2,1,20,9,236776,A,0.012648376863724312,-4.3702263832092285,-0.6568177342414856,-5.027044296264648,False,False,False,False
3,11,21,0,258882,<image|>,0.46905085812336095,-0.7570440769195557,-1.5270442962646484,-2.284088373184204,False,False,True,False
3,12,22,1,496, a,0.8162013400459799,-0.2030942142009735,-2.4020442962646484,-2.6051385402679443,False,False,True,False
3,11,23,2,6974,Write,0.1725541675674075,-1.7570440769195557,-1.5270442962646484,-3.284088373184204,False,False,True,False
3,13,24,3,1374, should,0.8038218810912393,-0.21837757527828217,-3.5644659996032715,-3.782843589782715,False,False,True,True
3,16,25,4,496, a,0.8966910018590132,-0.10904395580291748,-3.9020442962646484,-4.0110883712768555,False,False,False,False
3,15,26,5,496, a,0.8282283315192079,-0.1884663999080658,-3.8774325847625732,-4.065898895263672,False,False,False,False
3,17,27,6,496, a,0.7843321454079882,-0.24292269349098206,-4.027044296264648,-4.269967079162598,False,False,True,False
3,14,28,7,258882,<image|>,0.6699403051762488,-0.4005666673183441,-3.8774325847625732,-4.277999401092529,False,False,True,False
3,18,29,8,258882,<image|>,0.6661177035295136,-0.40628889203071594,-4.0644659996032715,-4.470755100250244,False,False,True,False
3,12,30,9,614, an,0.08602698576339682,-2.453094244003296,-2.4020442962646484,-4.855138778686523,False,False,False,False
4,21,31,0,258882,<image|>,0.36818299664325094,-0.9991751909255981,-2.284088373184204,-3.283263683319092,False,False,True,False
4,23,32,1,496, a,0.8141856011001564,-0.20556692779064178,-3.284088373184204,-3.4896552562713623,False,False,True,False
4,24,33,2,577, be,0.5267367442064202,-0.6410543918609619,-3.782843589782715,-4.423897743225098,False,False,True,True
4,28,34,3,258882,<image|>,0.8550450035788482,-0.1566011756658554,-4.277999401092529,-4.434600353240967,False,False,False,False
4,22,35,4,258882,<image|>,0.15223651812508177,-1.8823199272155762,-2.6051385402679443,-4.487458229064941,False,False,True,False
4,21,36,5,6974,Write,0.09309125115080115,-2.3741750717163086,-2.284088373184204,-4.658263206481934,False,False,True,False
4,22,37,6,3925, story,0.1185619195278778,-2.132319927215576,-2.6051385402679443,-4.737458229064941,False,False,True,False
4,22,38,7,12274, funny,0.1185619195278778,-2.132319927215576,-2.6051385402679443,-4.737458229064941,False,False,True,False
4,27,39,8,258882,<image|>,0.5243420461726144,-0.645611047744751,-4.269967079162598,-4.9155778884887695,False,False,True,False
4,29,40,9,258882,<image|>,0.6402266376690128,-0.4459330439567566,-4.470755100250244,-4.916687965393066,False,False,False,False
5,36,41,0,496, a,0.7978996625965353,-0.225772425532341,-4.658263206481934,-4.884035587310791,False,False,True,False
5,38,42,1,3925, story,0.8275999771248028,-0.18922536075115204,-4.737458229064941,-4.92668342590332,False,False,True,False
5,37,43,2,1003, about,0.735420535254959,-0.3073127865791321,-4.737458229064941,-5.044771194458008,False,False,True,False
5,33,44,3,258882,<image|>,0.49436687781912975,-0.7044773697853088,-4.423897743225098,-5.128375053405762,False,False,True,True
5,35,45,4,258882,<image|>,0.45929997872510836,-0.7780517339706421,-4.487458229064941,-5.265510082244873,False,False,True,False
5,31,46,5,6974,Write,0.1314359835502514,-2.029235363006592,-3.283263683319092,-5.312499046325684,False,False,True,False
5,31,47,6,108,"

",0.1314359835502514,-2.029235363006592,-3.283263683319092,-5.312499046325684,False,False,True,False
5,39,48,7,258882,<image|>,0.5229646538202921,-0.648241400718689,-4.9155778884887695,-5.563819408416748,False,False,True,False
5,32,49,8,3925, story,0.12521595443052902,-2.0777153968811035,-3.4896552562713623,-5.567370414733887,False,False,True,False
5,32,50,9,258882,<image|>,0.12521595443052902,-2.0777153968811035,-3.4896552562713623,-5.567370414733887,False,False,True,False
6,42,51,0,1003, about,0.904926787274624,-0.0999012365937233,-4.92668342590332,-5.026584625244141,False,False,True,False
