step,parent_beam_id,beam_id,beam_rank,token_id,token,token_probability,token_log_probability,previous_log_probability,cumulative_log_probability,is_eos,carried_forward,survived,on_final_path
1,0,1,0,1376,"

",0.3525041863977404,-1.04269278049469,0.0,-1.04269278049469,False,False,True,True
1,0,2,1,5293, Use,0.11444136751064735,-2.1676926612854004,0.0,-2.1676926612854004,False,False,True,False
1,0,3,2,6423, Write,0.05754473341053118,-2.8551926612854004,0.0,-2.8551926612854004,False,False,False,False
1,0,4,3,1617, The,0.054058274261972045,-2.9176926612854004,0.0,-2.9176926612854004,False,False,True,False
1,0,5,4,1243, ,0.03490264511847709,-3.3551926612854004,0.0,-3.3551926612854004,False,False,True,False
1,0,6,5,6829, That,0.03278800075104038,-3.4176926612854004,0.0,-3.4176926612854004,False,False,False,False
1,0,7,6,6640, Let,0.030801476209065384,-3.4801926612854004,0.0,-3.4801926612854004,False,False,True,False
1,0,8,7,2410, It,0.015487954886038744,-4.1676926612854,0.0,-4.1676926612854,False,False,False,False
1,0,9,8,1221,"
",0.012839965581590522,-4.3551926612854,0.0,-4.3551926612854,False,False,False,False
1,0,10,9,2514, This,0.012839965581590522,-4.3551926612854,0.0,-4.3551926612854,False,False,False,False
2,1,11,0,4823,We,0.13537547706251027,-1.999703049659729,-1.04269278049469,-3.042395830154419,False,False,True,False
2,1,12,1,2075,The,0.11946845343532585,-2.1247029304504395,-1.04269278049469,-3.16739559173584,False,False,True,True
2,2,13,2,1302, the,0.2561637585045676,-1.3619383573532104,-2.1676926612854004,-3.5296311378479004,False,False,False,False
2,7,14,3,1042,',0.7877371297036783,-0.23859083652496338,-3.4801926612854004,-3.718783378601074,False,False,True,False
2,1,15,4,26101,Ok,0.06394685504874699,-2.7497029304504395,-1.04269278049469,-3.79239559173584,False,False,True,False
2,5,16,5,1043,(,0.5809881273573771,-0.5430249571800232,-3.3551926612854004,-3.8982176780700684,False,False,False,False
2,4,17,6,6159, story,0.35515089737769256,-1.035212516784668,-2.9176926612854004,-3.9529051780700684,False,False,True,False
2,1,18,7,83786,Okay,0.05301380485147259,-2.9372029304504395,-1.04269278049469,-3.97989559173584,False,False,True,False
2,1,19,8,3703,Write,0.05301380485147259,-2.9372029304504395,-1.04269278049469,-3.97989559173584,False,False,True,False
2,4,20,9,34745, ted,0.2944304352740063,-1.222712516784668,-2.9176926612854004,-4.140405178070068,False,False,True,False
3,14,21,0,1118,s,0.9999798540367254,-2.0146166207268834e-05,-3.718783378601074,-3.7188034057617188,False,False,True,False
3,12,22,1,2801, user,0.38550300122296677,-0.9532063007354736,-3.16739559173584,-4.120601654052734,False,False,True,True
3,20,23,2,6912,dy,0.9992752563018441,-0.0007250064518302679,-4.140405178070068,-4.141129970550537,False,False,True,False
3,11,24,3,2351, need,0.2918949940689903,-1.2313611507415771,-3.042395830154419,-4.273756980895996,False,False,True,False
3,15,25,4,1049,.,0.4829303386681787,-0.7278828620910645,-3.79239559173584,-4.520278453826904,False,False,True,False
3,19,26,5,1284, a,0.4983701496310341,-0.696412205696106,-3.97989559173584,-4.676307678222656,False,False,False,False
3,12,27,6,7895, prompt,0.17106591982087474,-1.7657063007354736,-3.16739559173584,-4.933101654052734,False,False,True,False
3,18,28,7,1049,.,0.3818822485738561,-0.9626429677009583,-3.97989559173584,-4.942538738250732,False,False,True,False
3,17,29,8,2396, should,0.3487602778409783,-1.053370475769043,-3.9529051780700684,-5.006275653839111,False,False,True,False
3,17,30,9,4016, must,0.3487602778409783,-1.053370475769043,-3.9529051780700684,-5.006275653839111,False,False,False,False
4,23,31,0,23416, bear,0.9748762105872744,-0.02544477954506874,-4.141129970550537,-4.166574954986572,False,False,True,False
4,24,32,1,1343, to,0.8017825195382664,-0.22091788053512573,-4.273756980895996,-4.4946746826171875,False,False,True,False
4,21,33,2,3155, see,0.3106038731581018,-1.1692368984222412,-3.7188034057617188,-4.888040542602539,False,False,True,False
4,25,34,3,1376,"

",0.5400144827491534,-0.6161593198776245,-4.520278453826904,-5.136437892913818,False,False,False,False
4,22,35,4,16973, wants,0.29771775756191005,-1.2116093635559082,-4.120601654052734,-5.332211017608643,False,False,True,False
4,28,36,5,1376,"

",0.5351750711758414,-0.625161349773407,-4.942538738250732,-5.567699909210205,False,False,False,False
4,21,37,6,4037, try,0.14671888083169995,-1.9192368984222412,-3.7188034057617188,-5.638040542602539,False,False,True,False
4,27,38,7,1061,:,0.4205169285876913,-0.8662705421447754,-4.933101654052734,-5.79937219619751,False,False,True,False
4,29,39,8,1447, be,0.4247534179876492,-0.8562464714050293,-5.006275653839111,-5.862522125244141,False,False,True,False
4,22,40,9,7214, says,0.1593568322080584,-1.8366093635559082,-4.120601654052734,-5.957211017608643,False,False,True,True
5,31,41,0,1412, is,0.4707035694955911,-0.7535267472267151,-4.166574954986572,-4.920101642608643,False,False,True,False
5,33,42,1,1597, if,0.45563881776417764,-0.7860548496246338,-4.888040542602539,-5.674095153808594,False,False,True,False
5,35,43,2,1284, a,0.6686362932946235,-0.4025150239467621,-5.332211017608643,-5.7347259521484375,False,False,True,False
5,32,44,3,11027, produce,0.22988815023643516,-1.4701623916625977,-4.4946746826171875,-5.964837074279785,False,False,True,False
5,38,45,4,1243, ,0.8286954432865163,-0.187902569770813,-5.79937219619751,-5.987274646759033,False,False,True,False
5,33,46,5,2254, how,0.276358912729191,-1.2860548496246338,-4.888040542602539,-6.174095153808594,False,False,True,False
5,40,47,6,1061,:,0.7831379542499484,-0.24444641172885895,-5.957211017608643,-6.201657295227051,False,False,True,True
5,39,48,7,2247, about,0.4848019804912188,-0.7240147590637207,-5.862522125244141,-6.586536884307861,False,False,True,False
5,37,49,8,1343, to,0.35479578053207717,-1.0362129211425781,-5.638040542602539,-6.674253463745117,False,False,False,False
5,31,50,9,2053, has,0.0721847345963312,-2.6285266876220703,-4.166574954986572,-6.795101642608643,False,False,True,False
6,45,51,0,1037,"""",0.965259283843437,-0.035358525812625885,-5.987274646759033,-6.022633075714111,False,False,True,False
6,41,52,1,1284, a,0.326564749777772,-1.1191270351409912,-4.920101642608643,-6.039228439331055,False,False,False,False
6,42,53,2,1604, we,0.5955018166183457,-0.5183508396148682,-5.674095153808594,-6.192445755004883,False,False,True,False
6,44,54,3,1284, a,0.6907824578893311,-0.36993032693862915,-5.964837074279785,-6.3347673416137695,False,False,True,False
6,47,55,4,1243, ,0.8065918079967622,-0.21493755280971527,-6.201657295227051,-6.416594982147217,False,False,True,True
6,46,56,5,3367, many,0.6129173389128935,-0.4895251989364624,-6.174095153808594,-6.663620471954346,False,False,True,False
6,43,57,6,6159, story,0.3904181572185283,-0.9405369162559509,-5.7347259521484375,-6.675262928009033,False,False,True,False
6,48,58,7,1284, a,0.6404665021358883,-0.44555845856666565,-6.586536884307861,-7.032095432281494,False,False,True,False
6,43,59,8,40580, funny,0.23680056834713042,-1.4405369758605957,-5.7347259521484375,-7.175262928009033,False,False,True,False
6,50,60,9,1284, a,0.6179809348269494,-0.48129767179489136,-6.795101642608643,-7.2763991355896,False,False,False,False
7,53,61,0,1709, can,0.9643421578055295,-0.03630911186337471,-6.192445755004883,-6.228754997253418,False,False,True,False
7,55,62,1,1037,"""",0.9710440780616244,-0.02938341721892357,-6.416594982147217,-6.445978164672852,False,False,True,True
7,56,63,2,14912, tokens,0.6967858691908041,-0.36127713322639465,-6.663620471954346,-7.024897575378418,False,False,False,False
7,54,64,3,6159, story,0.49934602770573266,-0.6944559812545776,-6.3347673416137695,-7.029223442077637,False,False,True,False
7,59,65,4,6159, story,0.9830408443971601,-0.017104608938097954,-7.175262928009033,-7.1923675537109375,False,False,True,False
7,58,66,5,34745, ted,0.6707713965749792,-0.399326890707016,-7.032095432281494,-7.431422233581543,False,False,True,False
7,57,67,6,2247, about,0.41993617840133257,-0.8676525354385376,-6.675262928009033,-7.542915344238281,False,False,True,False
7,51,68,7,3703,Write,0.17394111477634128,-1.7490384578704834,-6.022633075714111,-7.771671295166016,False,False,True,False
7,51,69,8,2075,The,0.16340255538123308,-1.8115384578704834,-6.022633075714111,-7.834171295166016,False,False,False,False
7,54,70,9,6966, short,0.12625443276112105,-2.069456100463867,-6.3347673416137695,-8.404223442077637,False,False,False,False
8,66,71,0,6912,dy,0.9987748392272753,-0.0012259118957445025,-7.431422233581543,-7.432648181915283,False,False,True,False
8,65,72,1,2247, about,0.7838593432245373,-0.2435256838798523,-7.1923675537109375,-7.4358930587768555,False,False,True,False
8,67,73,2,1284, a,0.9050827147748696,-0.09972894191741943,-7.542915344238281,-7.64264440536499,False,False,True,False
8,68,74,3,1284, a,0.9783210529251861,-0.02191738784313202,-7.771671295166016,-7.793588638305664,False,False,True,False
8,61,75,4,2185, get,0.1840859678090556,-1.6923524141311646,-6.228754997253418,-7.921107292175293,False,False,True,False
8,61,76,5,1687, do,0.1840859678090556,-1.6923524141311646,-6.228754997253418,-7.921107292175293,False,False,True,False
8,62,77,6,3703,Write,0.19136673399266432,-1.6535636186599731,-6.445978164672852,-8.099541664123535,False,False,True,True
8,64,78,7,2247, about,0.32835807946837897,-1.1136505603790283,-7.029223442077637,-8.142873764038086,False,False,True,False
8,62,79,8,2075,The,0.16888055000625646,-1.7785636186599731,-6.445978164672852,-8.224541664123535,False,False,True,False
8,61,80,9,11027, produce,0.11165379680923408,-2.192352294921875,-6.228754997253418,-8.421107292175293,False,False,True,False
9,71,81,0,23416, bear,0.9917741211767362,-0.00825989805161953,-7.432648181915283,-7.440907955169678,False,False,True,False
9,72,82,1,1284, a,0.9782079970284557,-0.022032955661416054,-7.4358930587768555,-7.457925796508789,False,False,True,False
9,73,83,2,34745, ted,0.9942616016253389,-0.0057549262419342995,-7.64264440536499,-7.648399353027344,False,False,True,False
9,77,84,3,1284, a,0.9902995922842043,-0.00974776316434145,-8.099541664123535,-8.109289169311523,False,False,True,True
9,78,85,4,1284, a,0.9040157438879466,-0.10090850293636322,-8.142873764038086,-8.243782043457031,False,False,True,False
9,74,86,5,40580, funny,0.6296216080542378,-0.462636262178421,-7.793588638305664,-8.256224632263184,False,False,True,False
9,76,87,6,1491, it,0.4559441237432394,-0.785385012626648,-7.921107292175293,-8.70649242401123,False,False,True,False
9,79,88,7,2801, user,0.3529561258851464,-1.0414115190505981,-8.224541664123535,-9.265953063964844,False,False,False,False
9,75,89,8,1284, a,0.23571144368797864,-1.445146918296814,-7.921107292175293,-9.366253852844238,False,False,False,False
9,80,90,9,1284, a,0.36507502377787165,-1.0076524019241333,-8.421107292175293,-9.428759574890137,False,False,False,False
10,82,91,0,34745, ted,0.9971804473061173,-0.002823535120114684,-7.457925796508789,-7.46074914932251,False,False,True,False
10,83,92,1,6912,dy,0.9989453959487731,-0.0010551605373620987,-7.648399353027344,-7.649454593658447,False,False,True,False
10,84,93,2,40580, funny,0.8733268183086786,-0.13544543087482452,-8.109289169311523,-8.244734764099121,False,False,True,True
10,85,94,3,34745, ted,0.9951928600069542,-0.00481873145326972,-8.243782043457031,-8.248600959777832,False,False,True,False
10,86,95,4,6159, story,0.9264384129864703,-0.07640770822763443,-8.256224632263184,-8.332632064819336,False,False,True,False
10,81,96,5,2558, who,0.36795272958551944,-0.9998008012771606,-7.440907955169678,-8.440709114074707,False,False,True,False
10,81,97,6,1480, that,0.23756813765201126,-1.4373008012771606,-7.440907955169678,-8.878209114074707,False,False,True,False
10,87,98,7,1049,.,0.4517522323390331,-0.7946214079856873,-8.70649242401123,-9.501113891601562,False,False,True,False
10,87,99,8,1333, in,0.3518249713294912,-1.044621467590332,-8.70649242401123,-9.751113891601562,False,False,True,False
10,81,100,9,9032, named,0.06806441913235373,-2.687300682067871,-7.440907955169678,-10.12820816040039,False,False,True,False
11,91,101,0,6912,dy,0.9983243456776926,-0.0016770598012953997,-7.46074914932251,-7.46242618560791,False,False,True,False
11,92,102,1,23416, bear,0.9974008581125068,-0.002602525521069765,-7.649454593658447,-7.65205717086792,False,False,True,False
11,94,103,2,6912,dy,0.9987830446250203,-0.0012176964664831758,-8.248600959777832,-8.249818801879883,False,False,True,False
11,93,104,3,6159, story,0.9676771069389803,-0.032856814563274384,-8.244734764099121,-8.277591705322266,False,False,True,True
11,95,105,4,2247, about,0.9008196271289203,-0.10445023328065872,-8.332632064819336,-8.437082290649414,False,False,True,False
11,96,106,5,1412, is,0.2393975586983167,-1.4296296834945679,-8.440709114074707,-9.870338439941406,False,False,True,False
11,98,107,6,1376,"

",0.5887913449662777,-0.5296834111213684,-9.501113891601562,-10.030797004699707,False,False,False,False
11,97,108,7,1412, is,0.20077267144162478,-1.6055819988250732,-8.878209114074707,-10.48379135131836,False,False,False,False
11,99,109,8,1243, ,0.33802336302535235,-1.0846402645111084,-9.751113891601562,-10.83575439453125,False,False,False,False
11,100,110,9,1243, ,0.4450092563239189,-0.8096601963043213,-10.12820816040039,-10.937868118286133,False,False,False,False
12,101,111,0,23416, bear,0.9976696563099664,-0.002333063166588545,-7.46242618560791,-7.464759349822998,False,False,True,False
12,103,112,1,23416, bear,0.9974437896327231,-0.002559483051300049,-8.249818801879883,-8.252378463745117,False,False,True,False
12,104,113,2,2247, about,0.9347096669103883,-0.06751931458711624,-8.277591705322266,-8.345110893249512,False,False,True,True
12,105,114,3,1284, a,0.9836320614358094,-0.01650337316095829,-8.437082290649414,-8.453585624694824,False,False,True,False
12,102,115,4,1333, in,0.27900685127373376,-1.2765189409255981,-7.65205717086792,-8.928576469421387,False,False,True,False
12,102,116,5,1049,.,0.27900685127373376,-1.2765189409255981,-7.65205717086792,-8.928576469421387,False,False,True,False
12,102,117,6,1047,",",0.1917584175896645,-1.6515189409255981,-7.65205717086792,-9.303576469421387,False,False,False,False
12,102,118,7,1530, with,0.05161108408486461,-2.9640188217163086,-7.65205717086792,-10.61607551574707,False,False,False,False
12,102,119,8,1480, that,0.03332262038673887,-3.4015188217163086,-7.65205717086792,-11.05357551574707,False,False,False,False
12,106,120,9,1284, a,0.30347953345135087,-1.1924411058425903,-9.870338439941406,-11.062779426574707,False,False,False,False
13,113,121,0,1284, a,0.9922806914032186,-0.007749256677925587,-8.345110893249512,-8.352860450744629,False,False,True,True
13,111,122,1,1333, in,0.38943404685275457,-0.9430607557296753,-7.464759349822998,-8.407819747924805,False,False,True,False
13,114,123,2,34745, ted,0.9914122827185279,-0.008624804206192493,-8.453585624694824,-8.462210655212402,False,False,True,False
13,111,124,3,1049,.,0.30329154064359143,-1.1930607557296753,-7.464759349822998,-8.657819747924805,False,False,True,False
13,115,125,4,2247, about,0.8731416546447771,-0.13565747439861298,-8.928576469421387,-9.064233779907227,False,False,True,False
13,111,126,5,1047,",",0.1839556182318185,-1.6930607557296753,-7.464759349822998,-9.157819747924805,False,False,True,False
13,112,127,6,1047,",",0.23633130623525808,-1.4425206184387207,-8.252378463745117,-9.69489860534668,False,False,False,False
13,112,128,7,1333, in,0.23633130623525808,-1.4425206184387207,-8.252378463745117,-9.69489860534668,False,False,True,False
13,112,129,8,1049,.,0.20856164573638672,-1.5675206184387207,-8.252378463745117,-9.81989860534668,False,False,True,False
13,116,130,9,1617, The,0.2777669135044029,-1.280972957611084,-8.928576469421387,-10.209548950195312,False,False,True,False
14,121,131,0,34745, ted,0.9912268364610518,-0.008811874315142632,-8.352860450744629,-8.361672401428223,False,False,True,True
14,123,132,1,6912,dy,0.9983713968113248,-0.0016299308044835925,-8.462210655212402,-8.46384048461914,False,False,True,False
14,122,133,2,2247, about,0.9369529308960324,-0.06512223184108734,-8.407819747924805,-8.472942352294922,False,False,True,False
14,125,134,3,1243, ,0.9993907351111573,-0.0006094505661167204,-9.064233779907227,-9.06484317779541,False,False,True,False
14,126,135,4,2247, about,0.5086827799362367,-0.6759306788444519,-9.157819747924805,-9.83375072479248,False,False,True,False
14,128,136,5,2247, about,0.8390244899560636,-0.17551538348197937,-9.69489860534668,-9.870413780212402,False,False,True,False
14,124,137,6,1617, The,0.2966559984167156,-1.2151820659637451,-8.657819747924805,-9.873002052307129,False,False,True,False
14,124,138,7,4642, They,0.1587885134912585,-1.8401820659637451,-8.657819747924805,-10.498002052307129,False,False,True,False
14,130,139,8,2801, user,0.4188829313024995,-0.8701637983322144,-10.209548950195312,-11.079712867736816,False,False,True,False
14,129,140,9,1617, The,0.2543665410480475,-1.3689789772033691,-9.81989860534668,-11.18887710571289,False,False,False,False
15,131,141,0,6912,dy,0.9982672013514315,-0.0017343016806989908,-8.361672401428223,-8.363407135009766,False,False,True,True
15,132,142,1,23416, bear,0.9924769828896162,-0.007551457732915878,-8.46384048461914,-8.471391677856445,False,False,True,False
15,133,143,2,1243, ,0.9997318510292087,-0.0002681849291548133,-8.472942352294922,-8.473210334777832,False,False,True,False
15,134,144,3,1052,1,0.9976397564055907,-0.0023630333598703146,-9.06484317779541,-9.067206382751465,False,False,True,False
15,135,145,4,1243, ,0.98226799949577,-0.01789109595119953,-9.83375072479248,-9.851641654968262,False,False,True,False
15,136,146,5,1243, ,0.998876167183296,-0.0011244647903367877,-9.870413780212402,-9.871538162231445,False,False,True,False
