name,role,component,layer,dtype,shape,params
lm_head.weight,lm_head.weight,language model,,BF16,"(130048, 3072)",399507456
model.embed_tokens.weight,model.embed_tokens.weight,language model,,BF16,"(130048, 3072)",399507456
model.final_layernorm.weight,model.final_layernorm.weight,language model,,BF16,"(3072,)",3072
model.layers.0.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,0.0,BF16,"(3072, 12288)",37748736
model.layers.0.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,0.0,BF16,"(12288, 3072)",37748736
model.layers.0.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,0.0,BF16,"(12288, 3072)",37748736
model.layers.0.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,0.0,BF16,"(3072,)",3072
model.layers.0.mamba.A_log,model.layers.N.mamba.A_log,language model,0.0,BF16,"(24,)",24
model.layers.0.mamba.D,model.layers.N.mamba.D,language model,0.0,BF16,"(24,)",24
model.layers.0.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,0.0,BF16,"(3584,)",3584
model.layers.0.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,0.0,BF16,"(3584, 1, 4)",14336
model.layers.0.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,0.0,BF16,"(24,)",24
model.layers.0.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,0.0,BF16,"(6680, 3072)",20520960
model.layers.0.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,0.0,BF16,"(3072,)",3072
model.layers.0.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,0.0,BF16,"(3072, 3072)",9437184
model.layers.0.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,0.0,BF16,"(3072,)",3072
model.layers.0.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,0.0,BF16,"(256, 3072)",786432
model.layers.0.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,0.0,BF16,"(3072, 1536)",4718592
model.layers.0.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,0.0,BF16,"(1536, 3072)",4718592
model.layers.0.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,0.0,BF16,"(256, 3072)",786432
model.layers.1.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,1.0,BF16,"(3072, 12288)",37748736
model.layers.1.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,1.0,BF16,"(12288, 3072)",37748736
model.layers.1.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,1.0,BF16,"(12288, 3072)",37748736
model.layers.1.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,1.0,BF16,"(3072,)",3072
model.layers.1.mamba.A_log,model.layers.N.mamba.A_log,language model,1.0,BF16,"(24,)",24
model.layers.1.mamba.D,model.layers.N.mamba.D,language model,1.0,BF16,"(24,)",24
model.layers.1.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,1.0,BF16,"(3584,)",3584
model.layers.1.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,1.0,BF16,"(3584, 1, 4)",14336
model.layers.1.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,1.0,BF16,"(24,)",24
model.layers.1.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,1.0,BF16,"(6680, 3072)",20520960
model.layers.1.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,1.0,BF16,"(3072,)",3072
model.layers.1.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,1.0,BF16,"(3072, 3072)",9437184
model.layers.1.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,1.0,BF16,"(3072,)",3072
model.layers.1.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,1.0,BF16,"(256, 3072)",786432
model.layers.1.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,1.0,BF16,"(3072, 1536)",4718592
model.layers.1.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,1.0,BF16,"(1536, 3072)",4718592
model.layers.1.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,1.0,BF16,"(256, 3072)",786432
model.layers.10.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,10.0,BF16,"(3072, 12288)",37748736
model.layers.10.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,10.0,BF16,"(12288, 3072)",37748736
model.layers.10.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,10.0,BF16,"(12288, 3072)",37748736
model.layers.10.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,10.0,BF16,"(3072,)",3072
model.layers.10.mamba.A_log,model.layers.N.mamba.A_log,language model,10.0,BF16,"(24,)",24
model.layers.10.mamba.D,model.layers.N.mamba.D,language model,10.0,BF16,"(24,)",24
model.layers.10.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,10.0,BF16,"(3584,)",3584
model.layers.10.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,10.0,BF16,"(3584, 1, 4)",14336
model.layers.10.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,10.0,BF16,"(24,)",24
model.layers.10.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,10.0,BF16,"(6680, 3072)",20520960
model.layers.10.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,10.0,BF16,"(3072,)",3072
model.layers.10.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,10.0,BF16,"(3072, 3072)",9437184
model.layers.10.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,10.0,BF16,"(3072,)",3072
model.layers.10.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,10.0,BF16,"(256, 3072)",786432
model.layers.10.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,10.0,BF16,"(3072, 1536)",4718592
model.layers.10.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,10.0,BF16,"(1536, 3072)",4718592
model.layers.10.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,10.0,BF16,"(256, 3072)",786432
model.layers.11.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,11.0,BF16,"(3072, 12288)",37748736
model.layers.11.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,11.0,BF16,"(12288, 3072)",37748736
model.layers.11.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,11.0,BF16,"(12288, 3072)",37748736
model.layers.11.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,11.0,BF16,"(3072,)",3072
model.layers.11.mamba.A_log,model.layers.N.mamba.A_log,language model,11.0,BF16,"(24,)",24
model.layers.11.mamba.D,model.layers.N.mamba.D,language model,11.0,BF16,"(24,)",24
model.layers.11.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,11.0,BF16,"(3584,)",3584
model.layers.11.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,11.0,BF16,"(3584, 1, 4)",14336
model.layers.11.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,11.0,BF16,"(24,)",24
model.layers.11.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,11.0,BF16,"(6680, 3072)",20520960
model.layers.11.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,11.0,BF16,"(3072,)",3072
model.layers.11.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,11.0,BF16,"(3072, 3072)",9437184
model.layers.11.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,11.0,BF16,"(3072,)",3072
model.layers.11.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,11.0,BF16,"(256, 3072)",786432
