rank,beam_id,position,token_id,token,token_probability,token_log_probability,cumulative_log_probability,cumulative_probability
1,991,1,1376,"

",0.3525041863977404,-1.04269278049469,-1.04269278049469,0.3525041863977404
1,991,2,2075,The,0.11946845343532585,-2.1247029304504395,-3.1673957109451294,0.042113129978415875
1,991,3,2801, user,0.38550300122296677,-0.9532063007354736,-4.120602011680603,0.01623473799757221
1,991,4,7214, says,0.1593568322080584,-1.8366093635559082,-5.957211375236511,0.002587116419020905
1,991,5,1061,:,0.7831379542499484,-0.24444641172885895,-6.20165778696537,0.0020260690597984836
1,991,6,1243, ,0.8065918079967622,-0.21493755280971527,-6.4165953397750854,0.001634210706069159
1,991,7,1037,"""",0.9710440780616244,-0.02938341721892357,-6.445978756994009,0.0015868906284333627
1,991,8,3703,Write,0.19136673399266432,-1.6535636186599731,-8.099542375653982,0.00030367807676685924
1,991,9,1284, a,0.9902995922842043,-0.00974776316434145,-8.109290138818324,0.000300732275607872
1,991,10,40580, funny,0.8733268183086786,-0.13544543087482452,-8.244735569693148,0.00026263756141935146
1,991,11,6159, story,0.9676771069389803,-0.032856814563274384,-8.277592384256423,0.0002541483556077868
1,991,12,2247, about,0.9347096669103883,-0.06751931458711624,-8.345111698843539,0.00023755492481597728
1,991,13,1284, a,0.9922806914032186,-0.007749256677925587,-8.352860955521464,0.00023572116504263756
1,991,14,34745, ted,0.9912268364610518,-0.008811874315142632,-8.361672829836607,0.0002336531447121271
1,991,15,6912,dy,0.9982672013514315,-0.0017343016806989908,-8.363407131517306,0.00023324827085873616
1,991,16,23416, bear,0.9915185686213651,-0.008517603389918804,-8.371924734907225,0.00023126999165526256
1,991,17,1333, in,0.8456911063635947,-0.1676011085510254,-8.53952584345825,0.00019558297511163827
1,991,18,2247, about,0.9951588578675857,-0.004852898418903351,-8.544378741877154,0.0001946361301304424
1,991,19,1243, ,0.9989603847753761,-0.0010401559993624687,-8.545418897876516,0.00019443378344629692
1,991,20,1052,1,0.9908889244577725,-0.009152835234999657,-8.554571733111516,0.0001926622825573566
1,991,21,1051,0,0.9837176507320372,-0.016416363418102264,-8.570988096529618,0.0001895252879819948
1,991,22,1051,0,0.9997511529374614,-0.0002488780301064253,-8.571236974559724,0.00018947812517080369
1,991,23,14912, tokens,0.9980504448072691,-0.0019514580490067601,-8.573188432608731,0.00018910872710796803
1,991,24,1049,.,0.11701828419149898,-2.1454250812530518,-10.718613513861783,2.212917877181283e-05
1,991,25,1617, The,0.5570915621220878,-0.5850256681442261,-11.303639182006009,1.2327978770468155e-05
1,991,26,2801, user,0.8689542536556867,-0.14046479761600494,-11.444103979622014,1.0712449591575305e-05
1,991,27,7214, says,0.5157865368694667,-0.6620622873306274,-12.106166266952641,5.525337276227359e-06
1,991,28,1061,:,0.8920680206730441,-0.11421289294958115,-12.220379159902222,4.928976687555129e-06
1,991,29,1243, ,0.857209800133034,-0.1540725827217102,-12.374451742623933,4.225167121199516e-06
1,991,30,1037,"""",0.9017587443706622,-0.10340826213359833,-12.477860004757531,3.8100813979690814e-06
1,991,31,3703,Write,0.8624976338031619,-0.14792287349700928,-12.62578287825454,3.286186190345776e-06
1,991,32,1284, a,0.9906251702377603,-0.009419050067663193,-12.635201928322203,3.2553787542442614e-06
1,991,33,40580, funny,0.9493916306191932,-0.0519338883459568,-12.68713581666816,3.090629343775037e-06
1,991,34,6159, story,0.9436015119716176,-0.05805132910609245,-12.745187145774253,2.916322521729973e-06
1,991,35,2247, about,0.9257126437228506,-0.07719141244888306,-12.822378558223136,2.699676631539144e-06
1,991,36,1284, a,0.9914250551505415,-0.008611921221017838,-12.830990479444154,2.676527053312324e-06
1,991,37,34745, ted,0.9730446273097204,-0.027325332164764404,-12.858315811608918,2.6043802690746743e-06
1,991,38,6912,dy,0.9963749213815538,-0.003631665138527751,-12.861947476747446,2.5949391858469483e-06
1,991,39,23416, bear,0.9942925955272434,-0.005723753944039345,-12.867671230691485,2.5801288183311143e-06
1,991,40,1333, in,0.9491396239841192,-0.052199363708496094,-12.919870594399981,2.4489024964613836e-06
1,991,41,2247, about,0.9971600591402132,-0.0028439811430871487,-12.922714575543068,2.4419477582000494e-06
1,991,42,1243, ,0.9976111632434065,-0.0023916945792734623,-12.925106270122342,2.43611434363758e-06
1,991,43,1052,1,0.9934236047971263,-0.006598114967346191,-12.931704385089688,2.4200934929544296e-06
1,991,44,1051,0,0.9984030042008718,-0.0015982723562046885,-12.933302657445893,2.416228613812684e-06
1,991,45,1051,0,0.9997609233430543,-0.00023910524032544345,-12.933541762686218,2.415650949953277e-06
1,991,46,14912, tokens,0.9976711989362202,-0.0023315169382840395,-12.935873279624502,2.410025379451305e-06
1,991,47,2403,".""",0.7470303089836096,-0.2916495203971863,-13.227522800021688,1.8003620038698495e-06
1,991,48,1617, The,0.09194925056809641,-2.3865184783935547,-15.614041278415243,1.6554193700710893e-07
1,991,49,2801, user,0.7214220371806285,-0.32653096318244934,-15.940572241597692,1.194256014344958e-07
1,991,50,7214, says,0.6133458530499258,-0.48882630467414856,-16.42939854627184,7.324919738784128e-08
1,991,51,1061,:,0.9198943921453799,-0.08349640667438507,-16.512894952946226,6.738152590622521e-08
1,991,52,1243, ,0.9305309402933055,-0.07199995219707489,-16.5848949051433,6.270059465991746e-08
1,991,53,1037,"""",0.9454217432154424,-0.056124161928892136,-16.641019067072193,5.9278505504024026e-08
1,991,54,3703,Write,0.9461799328483174,-0.05532252416014671,-16.69634159123234,5.6088132357146064e-08
1,991,55,1284, a,0.9946294140429236,-0.005385059397667646,-16.701726650630007,5.5786906221150136e-08
1,991,56,40580, funny,0.9696241147003505,-0.030846793204545975,-16.732573443834553,5.409232955655417e-08
1,991,57,6159, story,0.9885439503070976,-0.011522175744175911,-16.74409561957873,5.347264514114943e-08
1,991,58,2247, about,0.9651524456401045,-0.035469215363264084,-16.779564834941993,5.160925423282582e-08
1,991,59,1284, a,0.9909453437176188,-0.00909589882940054,-16.788660733771394,5.114195017475756e-08
1,991,60,34745, ted,0.9958097825321637,-0.004199021030217409,-16.79285975480161,5.092765428179607e-08
1,991,61,6912,dy,0.9946290601884308,-0.0053854151628911495,-16.798245169964503,5.065412491590414e-08
1,991,62,23416, bear,0.9920144371652908,-0.008017618209123611,-16.806262788173626,5.024962321855098e-08
1,991,63,1333, in,0.9722518027351574,-0.02814045175909996,-16.834403239932726,4.8855286760998615e-08
1,991,64,2247, about,0.9962333991836823,-0.003773712320253253,-16.83817695225298,4.8671268398003205e-08
1,991,65,1243, ,0.9979838333366091,-0.0020182018633931875,-16.840195154116373,4.85731390091942e-08
1,991,66,1052,1,0.9950304278205494,-0.004981961566954851,-16.845177115683327,4.833175128890552e-08
1,991,67,1051,0,0.9995281539481159,-0.00047195740626193583,-16.84564907308959,4.830894614287921e-08
1,991,68,1051,0,0.9994943316089623,-0.0005057962844148278,-16.846154869374004,4.82845178358104e-08
1,991,69,14912, tokens,0.997683776504692,-0.002318910090252757,-16.848473779464257,4.817268010113948e-08
1,991,70,2403,".""",0.8703371572844607,-0.1388746052980423,-16.9873483847623,4.192647345799944e-08
1,991,71,1617, The,0.3050221820061887,-1.187370777130127,-18.174719161892426,1.2788504417983544e-08
1,991,72,2801, user,0.9677372778306486,-0.032794635742902756,-18.20751379763533,1.2375912452984619e-08
1,991,73,7214, says,0.9412908448333447,-0.06050310656428337,-18.268016904199612,1.1649333088453403e-08
1,991,74,1061,:,0.9725137535550727,-0.027871061116456985,-18.29588796531607,1.1329136648265127e-08
1,991,75,1243, ,0.9647957866976814,-0.03583882004022598,-18.331726785356295,1.0930303305168488e-08
1,991,76,1037,"""",0.9745321444314342,-0.025797775015234947,-18.35752456037153,1.0651931919271839e-08
1,991,77,3703,Write,0.9863355161371868,-0.013758702203631401,-18.37128326257516,1.0506378767453164e-08
1,991,78,1284, a,0.9967607622027796,-0.0032444954849779606,-18.37452775806014,1.0472346108237717e-08
1,991,79,40580, funny,0.975254081965664,-0.025057245045900345,-18.39958500310604,1.0213198289816069e-08
